Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
16.0,0.1374271,0.0002565,0.0,0.13511715,0.0004659,0.0,1.2041199826559246,-0.8619276179318606,-3.5909126305521646,-Inf,-0.8692895238302317,-3.3317072895517788,-Inf
18.0,0.1255377,0.00026715,0.0,0.13135625,0.00050595,0.0,1.2552725051033058,-0.9012258324039525,-3.573244821481075,-Inf,-0.8815492584246486,-3.295892399755117,-Inf
20.0,0.12489685,0.00028395,0.0,0.13548,0.0005435,0.0,1.301029995663981,-0.9034485147473155,-3.5467581269805217,-Inf,-0.8681248120274072,-3.2648004515776865,-Inf
23.0,0.1222826,0.000338,0.0,0.1319,0.000624,0.0,1.3617278360175928,-0.912635335781338,-3.471083299722345,-Inf,-0.8797552044536346,-3.204815410317576,-Inf
26.0,0.12693035,0.0004072,0.0,0.1368972,0.00067335,0.0,1.414973347970818,-0.896434522416079,-3.390192230671297,-Inf,-0.8636054345320808,-3.1717591355426658,-Inf
29.0,0.1526416,0.00042085,0.0,0.1355463,0.00073255,0.0,1.462397997898956,-0.8163270903107793,-3.3758726684880824,-Inf,-0.8679123328346164,-3.1351627273110374,-Inf
32.0,0.12885925,0.0007445,0.0,0.13324045,0.0008059,0.0,1.5051499783199058,-0.8898844007081989,-3.128135297911805,-Inf,-0.8753639092127218,-3.0937188442278467,-Inf
36.0,0.13574125,0.0008555,0.0,0.1377664,0.00087825,0.0,1.556302500767287,-0.8672881558399784,-3.0677799861228805,-Inf,-0.860856690076526,-3.0563818415359365,-Inf
40.0,0.1230524,0.00059185,0.0,0.1528934,0.00097365,0.0,1.6020599913279623,-0.909909911448444,-3.2277883480519822,-Inf,-0.8156112615166914,-3.0115971318131947,-Inf
45.0,0.1263309,0.00067525,0.0,0.1368445,0.00109665,0.0,1.6532125137753435,-0.8984904098709848,-3.170535407140511,-Inf,-0.8637726528950782,-2.959931957039932,-Inf
51.0,0.12901985,0.0007304,0.0,0.13853355,0.00130245,0.0,1.7075701760979363,-0.8893434673575648,-3.136439235473757,-Inf,-0.858445036596812,-2.8852389399216394,-Inf
57.0,0.1432377,0.00083035,0.0,0.13473705,0.00132215,0.0,1.7558748556724912,-0.843942661168428,-3.0807388099988255,-Inf,-0.8705129655386825,-2.878719270662185,-Inf
64.0,0.1266078,0.00147635,0.0,0.1494878,0.0015613,0.0,1.8061799739838869,-0.8975395376629848,-2.8308106716122516,-Inf,-0.8253942495394149,-2.806513640290257,-Inf
71.0,0.1240805,0.0011198,0.0,0.13323435,0.001683,0.0,1.851258348719075,-0.9062964651396204,-2.9508595368410346,-Inf,-0.8753837924912913,-2.7739158840241758,-Inf
80.0,0.12968315,0.0013119,0.0,0.1359361,0.0024227,0.0,1.9030899869919433,-0.8871164490308926,-2.88209926793548,-Inf,-0.8666651941222753,-2.615700360691615,-Inf
90.0,0.12777125,0.00157725,0.0,0.1314844,0.00215365,0.0,1.9542425094393248,-0.8935668564357747,-2.8020994639219787,-Inf,-0.8811257710967497,-2.6668248745846346,-Inf
100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
113.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0530784434834195,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
126.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1003705451175625,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
142.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1522883443830563,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
159.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2013971243204513,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
178.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2504200023088936,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
200.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301029995663981,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
224.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3502480183341623,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
252.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4014005407815437,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
282.0,0.0,0.0,0.0,0.0,0.0,0.0,2.450249108319361,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
317.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501059262217751,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
355.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5502283530550938,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
399.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600972895686748,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
447.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650307523131936,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
502.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700703717145019,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
563.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7505083948513462,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
631.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800029359244134,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
708.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850033257689769,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
795.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90036712865647,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
892.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9503648543761227,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999996,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1123.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0503797562614574,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1259.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100025730107862,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1413.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1501421618485583,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1585.0,0.0,0.0,0.0,0.0,0.0,0.0,3.20002926655377,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1779.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2501759480839247,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1996.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3001605369513523,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2239.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35005409357903,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2512.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400019635065158,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2819.0,0.0,0.0,0.0,0.0,0.0,0.0,3.450095075871602,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
3163.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5000991919157225,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
3549.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5501059993475925,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
